Age,MonthlySalary,OvertimeHoursPerMonth,LeavesTaken,ProjectsHandled,TrainingHours,CustomerSatisfaction,YearsAtCompany,WorkLifeBalanceScore,PerformanceRating,Income_per_year,Gap_since_promotion,Satisfaction_score,Experience_ratio,Gender,Department,JobRole,EducationLevel,Country
54,75646.0,20,7,4,50,8.0,2,4.83,3,907752.0,2,6.415,0.037037037037037035,Female,Support,Support Engineer,2,India
60,130906.0,18,28,8,23,10.0,14,1.73,4,1570872.0,13,5.865,0.23333333333333334,Other,Sales,Sales Executive,1,Germany
42,176048.0,19,17,3,34,,6,3.37,3,2112576.0,4,,0.14285714285714285,Male,IT,Tester,5,USA
57,68060.0,31,30,12,15,,3,-1.2,2,816720.0,3,,0.05263157894736842,Female,IT,Tester,2,France
59,62282.0,35,5,15,63,,5,2.17,4,747384.0,5,,0.0847457627118644,Other,Marketing,Content Lead,4,USA
28,89567.0,29,13,15,65,,2,2.03,3,1074804.0,2,,0.07142857142857142,Other,Marketing,SEO Analyst,4,Canada
33,82449.0,31,19,9,36,1.0,11,0.63,4,989388.0,12,0.815,0.3333333333333333,Other,Sales,Sales Executive,4,UK
52,41883.0,20,11,1,28,,4,4.17,2,502596.0,4,,0.07692307692307693,Female,Marketing,Content Lead,4,India
46,74577.0,37,11,6,73,,15,0.77,3,894924.0,14,,0.32608695652173914,Male,Finance,Accountant,1,USA
23,104549.0,38,30,6,80,4.0,12,-2.6,4,1254588.0,4,0.7,0.5217391304347826,Male,Support,Support Engineer,2,UK
60,74638.0,39,4,7,12,,4,1.53,4,895656.0,2,,0.06666666666666667,Other,IT,Developer,5,UK
50,103189.0,8,18,4,44,,5,5.4,3,1238268.0,3,,0.1,Male,Marketing,Content Lead,5,Canada
43,41254.0,9,23,13,33,,12,4.37,1,495048.0,6,,0.27906976744186046,Male,IT,Tester,2,India
33,152027.0,24,2,11,7,,8,4.87,3,1824324.0,8,,0.24242424242424243,Male,IT,Engineer,4,Germany
27,109614.0,21,0,5,56,,4,5.8,4,1315368.0,5,,0.14814814814814814,Male,Marketing,SEO Analyst,5,Canada
32,38475.0,25,24,7,79,,7,1.0,3,461700.0,2,,0.21875,Male,Finance,Auditor,4,UK
43,72671.0,32,16,5,80,,6,0.93,3,872052.0,3,,0.13953488372093023,Male,Marketing,Content Lead,2,Canada
58,34306.0,28,14,8,61,,15,2.07,4,411672.0,3,,0.25862068965517243,Male,Finance,Accountant,4,Canada
22,73324.0,21,30,10,36,,14,0.8,3,879888.0,3,,0.6363636363636364,Other,Finance,Auditor,1,UK
39,163576.0,12,10,10,76,,13,5.93,3,1962912.0,10,,0.3333333333333333,Male,Finance,Auditor,3,USA
22,49953.0,14,0,10,78,9.0,9,7.2,3,599436.0,7,8.1,0.4090909090909091,Male,Sales,Account Manager,2,USA
41,108906.0,8,7,7,56,,6,7.23,3,1306872.0,2,,0.14634146341463414,Female,Marketing,Content Lead,2,Germany
23,78457.0,7,24,6,62,,15,4.6,5,941484.0,4,,0.6521739130434783,Male,Marketing,Content Lead,5,Canada
55,37533.0,22,30,4,61,,14,0.6,4,450396.0,11,,0.2545454545454545,Female,IT,Engineer,5,Canada
33,171225.0,23,29,8,53,,7,0.57,4,2054700.0,2,,0.21212121212121213,Female,Finance,Accountant,5,UK
21,101051.0,34,15,7,49,,9,0.7,1,1212612.0,7,,0.42857142857142855,Male,IT,Developer,3,India
33,50654.0,38,30,1,26,7.0,7,-2.6,4,607848.0,8,2.2,0.21212121212121213,Other,Sales,Account Manager,2,France
22,71622.0,27,26,12,20,8.0,7,0.27,4,859464.0,3,4.135,0.3181818181818182,Other,Sales,Sales Executive,5,UK
23,132390.0,14,16,14,45,2.0,4,4.53,4,1588680.0,3,3.265,0.17391304347826086,Male,Support,Helpdesk,5,USA
54,179351.0,40,23,14,18,,2,-1.83,3,2152212.0,3,,0.037037037037037035,Female,IT,Tester,5,UK
57,50691.0,27,13,10,21,3.0,10,2.43,4,608292.0,4,2.715,0.17543859649122806,Female,Sales,Sales Executive,3,Canada
52,163863.0,37,23,3,50,1.0,14,-1.23,4,1966356.0,10,-0.11499999999999999,0.2692307692307692,Other,Support,Support Engineer,2,Germany
36,134280.0,2,3,14,35,,4,9.1,5,1611360.0,2,,0.1111111111111111,Male,Marketing,SEO Analyst,1,France
52,38519.0,6,14,12,64,,14,6.47,2,462228.0,2,,0.2692307692307692,Female,Finance,Auditor,2,UK
35,153394.0,34,12,12,5,,4,1.2,3,1840728.0,3,,0.11428571428571428,Female,Finance,Accountant,2,USA
48,42964.0,1,13,5,22,,7,7.63,2,515568.0,8,,0.14583333333333334,Male,IT,Developer,1,UK
30,52745.0,16,14,7,41,,6,4.47,1,632940.0,3,,0.2,Other,IT,Developer,3,France
34,37431.0,4,8,2,60,9.0,13,7.87,3,449172.0,5,8.435,0.38235294117647056,Other,Support,Helpdesk,5,Canada
22,124008.0,28,29,6,51,,3,-0.43,4,1488096.0,4,,0.13636363636363635,Male,Marketing,SEO Analyst,1,UK
48,128442.0,18,1,10,36,,8,6.23,4,1541304.0,5,,0.16666666666666666,Male,HR,HR Executive,2,India
57,137226.0,36,1,15,58,,10,2.63,2,1646712.0,5,,0.17543859649122806,Other,HR,HR Manager,3,USA
48,150377.0,18,19,8,19,,5,3.23,4,1804524.0,4,,0.10416666666666667,Female,IT,Tester,5,France
27,161874.0,2,7,11,53,,13,8.43,5,1942488.0,11,,0.48148148148148145,Female,HR,HR Manager,2,Canada
32,39558.0,19,19,15,50,3.0,6,3.03,3,474696.0,4,3.0149999999999997,0.1875,Female,Support,Helpdesk,5,UK
60,49620.0,29,4,5,76,4.0,12,3.53,3,595440.0,13,3.7649999999999997,0.2,Male,Sales,Account Manager,1,France
34,86861.0,30,0,1,25,,4,4.0,3,1042332.0,2,,0.11764705882352941,Female,Marketing,Content Lead,3,Canada
22,155851.0,1,30,12,44,1.0,2,4.8,4,1870212.0,2,2.9,0.09090909090909091,Female,Sales,Sales Executive,3,India
21,72637.0,31,27,7,70,6.0,14,-0.7,2,871644.0,5,2.65,0.6666666666666666,Female,Sales,Sales Executive,1,UK
26,151643.0,1,1,5,35,1.0,13,9.63,4,1819716.0,2,5.315,0.5,Female,Sales,Account Manager,1,UK
37,155727.0,26,30,3,46,,10,-0.2,2,1868724.0,6,,0.2702702702702703,Female,Finance,Accountant,3,Canada
55,71487.0,9,12,7,39,,7,6.2,5,857844.0,3,,0.12727272727272726,Female,HR,HR Executive,1,Canada
23,169631.0,0,9,7,23,,14,8.5,4,2035572.0,14,,0.6086956521739131,Female,Marketing,Content Lead,3,Canada
29,56935.0,36,29,6,50,,4,-2.03,4,683220.0,2,,0.13793103448275862,Male,IT,Developer,5,India
32,68664.0,21,9,14,79,4.0,2,4.3,3,823968.0,3,4.15,0.0625,Female,Sales,Sales Executive,3,UK
31,129732.0,29,2,11,58,,11,3.87,4,1556784.0,10,,0.3548387096774194,Other,IT,Developer,2,Germany
21,36008.0,11,6,5,55,,11,6.8,2,432096.0,10,,0.5238095238095238,Female,HR,HR Manager,2,India
25,163071.0,15,7,8,60,5.0,12,5.83,4,1956852.0,10,5.415,0.48,Other,Sales,Sales Executive,2,UK
26,44713.0,21,27,2,48,5.0,3,1.3,3,536556.0,2,3.15,0.11538461538461539,Other,Sales,Sales Executive,1,Germany
46,73718.0,10,4,9,34,,4,7.33,4,884616.0,4,,0.08695652173913043,Male,Marketing,Content Lead,3,USA
47,142815.0,21,13,15,22,,11,3.63,2,1713780.0,3,,0.23404255319148937,Other,HR,HR Manager,4,India
43,82938.0,18,17,7,16,4.0,11,3.57,4,995256.0,11,3.785,0.2558139534883721,Male,Support,Helpdesk,4,Canada
22,32356.0,15,4,12,74,,5,6.33,2,388272.0,6,,0.22727272727272727,Female,IT,Engineer,3,UK
28,150136.0,31,14,2,71,,5,1.47,4,1801632.0,3,,0.17857142857142858,Other,IT,Developer,5,Germany
51,103550.0,13,23,9,53,,4,3.57,3,1242600.0,2,,0.0784313725490196,Female,Finance,Auditor,5,Canada
31,145121.0,23,22,13,34,4.0,5,1.73,2,1741452.0,2,2.865,0.16129032258064516,Other,Sales,Sales Executive,3,Canada
54,152976.0,8,19,9,45,4.0,8,5.23,3,1835712.0,2,4.615,0.14814814814814814,Male,Sales,Sales Executive,4,Germany
44,43063.0,5,9,13,46,4.0,5,7.5,3,516756.0,4,5.75,0.11363636363636363,Male,Support,Support Engineer,4,France
30,33987.0,21,16,9,57,,12,3.13,4,407844.0,12,,0.4,Male,Marketing,Content Lead,2,Canada
44,145588.0,26,22,7,31,,11,1.13,3,1747056.0,6,,0.25,Female,Marketing,SEO Analyst,3,India
32,43235.0,38,12,6,23,,2,0.4,3,518820.0,3,,0.0625,Other,Finance,Auditor,4,France
60,56904.0,31,7,15,37,,4,2.63,3,682848.0,5,,0.06666666666666667,Other,IT,Tester,4,Germany
26,62833.0,10,3,5,63,,2,7.5,5,753996.0,2,,0.07692307692307693,Female,Finance,Accountant,1,USA
22,133108.0,16,2,11,47,5.0,4,6.47,3,1597296.0,4,5.734999999999999,0.18181818181818182,Other,Sales,Account Manager,5,France
35,65954.0,17,22,3,41,5.0,5,2.93,3,791448.0,2,3.965,0.14285714285714285,Male,Support,Helpdesk,1,USA
58,99805.0,6,23,15,6,10.0,7,4.97,4,1197660.0,6,7.484999999999999,0.1206896551724138,Female,Support,Support Engineer,4,India
43,156104.0,2,0,12,20,,14,9.6,3,1873248.0,15,,0.32558139534883723,Female,Marketing,Content Lead,1,Canada
34,115105.0,29,12,15,19,,3,2.2,3,1381260.0,4,,0.08823529411764706,Female,HR,HR Manager,4,France
52,77462.0,22,18,14,65,,10,2.6,3,929544.0,5,,0.19230769230769232,Female,Marketing,Content Lead,5,France
58,136059.0,1,18,12,69,,12,6.8,4,1632708.0,2,,0.20689655172413793,Female,HR,HR Executive,3,USA
29,152981.0,14,9,15,9,7.0,6,5.7,3,1835772.0,7,6.35,0.20689655172413793,Male,Sales,Account Manager,5,India
43,107081.0,31,29,15,80,,11,-1.03,3,1284972.0,12,,0.2558139534883721,Other,HR,HR Manager,2,USA
30,172259.0,38,22,2,62,,14,-1.27,5,2067108.0,14,,0.4666666666666667,Female,HR,HR Executive,2,India
51,50979.0,31,25,13,52,2.0,11,-0.37,4,611748.0,7,0.815,0.21568627450980393,Female,Sales,Account Manager,2,USA
27,98130.0,12,20,10,19,7.0,9,4.27,4,1177560.0,6,5.635,0.3333333333333333,Female,Support,Support Engineer,5,Canada
59,117953.0,34,7,15,8,,7,2.03,3,1415436.0,7,,0.11864406779661017,Other,Marketing,SEO Analyst,4,Canada
31,149459.0,23,24,3,66,,7,1.4,2,1793508.0,6,,0.22580645161290322,Female,Finance,Accountant,4,USA
33,68241.0,16,6,6,41,,13,5.8,5,818892.0,6,,0.3939393939393939,Other,IT,Developer,5,India
51,47360.0,13,17,4,69,,7,4.57,4,568320.0,3,,0.13725490196078433,Female,HR,HR Executive,4,USA
49,126122.0,5,20,13,67,5.0,7,5.67,4,1513464.0,8,5.335,0.14285714285714285,Other,Support,Support Engineer,5,USA
33,77857.0,7,13,9,61,,13,6.43,4,934284.0,10,,0.3939393939393939,Other,IT,Developer,2,France
53,50520.0,33,17,3,50,4.0,4,0.57,3,606240.0,5,2.285,0.07547169811320754,Male,Support,Helpdesk,4,Canada
49,113247.0,34,9,4,30,,15,1.7,1,1358964.0,16,,0.30612244897959184,Male,IT,Engineer,2,Germany
39,74074.0,17,30,7,45,,11,1.6,3,888888.0,12,,0.28205128205128205,Male,IT,Developer,5,Canada
59,152599.0,27,5,7,64,2.0,2,3.77,4,1831188.0,3,2.885,0.03389830508474576,Male,Support,Helpdesk,2,Germany
33,156093.0,0,1,6,37,4.0,3,9.83,3,1873116.0,4,6.915,0.09090909090909091,Male,Sales,Account Manager,5,Canada
22,153900.0,16,3,2,8,7.0,15,6.3,3,1846800.0,4,6.65,0.6818181818181818,Other,Support,Helpdesk,4,Germany
43,168316.0,29,1,14,74,,13,4.03,2,2019792.0,3,,0.3023255813953488,Other,Marketing,SEO Analyst,4,USA
52,31840.0,29,30,4,59,,12,-0.8,2,382080.0,9,,0.23076923076923078,Female,HR,HR Executive,4,UK
31,44728.0,6,7,4,33,,3,7.63,3,536736.0,3,,0.0967741935483871,Female,Finance,Auditor,3,France
59,144337.0,30,28,2,6,1.0,15,-0.67,3,1732044.0,2,0.16499999999999998,0.2542372881355932,Other,Sales,Sales Executive,1,France
45,78575.0,39,22,10,60,,12,-1.47,2,942900.0,4,,0.26666666666666666,Male,IT,Developer,3,USA
59,121058.0,19,6,4,35,10.0,11,5.2,3,1452696.0,7,7.6,0.1864406779661017,Male,Support,Support Engineer,4,UK
49,151344.0,12,22,15,51,,7,3.93,4,1816128.0,5,,0.14285714285714285,Female,Finance,Auditor,4,India
44,67225.0,15,3,4,42,,3,6.5,3,806700.0,2,,0.06818181818181818,Female,IT,Engineer,5,USA
22,172135.0,0,13,6,21,,10,7.83,4,2065620.0,3,,0.45454545454545453,Female,Finance,Accountant,2,USA
60,91931.0,18,1,6,49,,8,6.23,3,1103172.0,3,,0.13333333333333333,Male,IT,Developer,2,Canada
25,89066.0,4,5,7,73,5.0,14,8.37,3,1068792.0,11,6.685,0.56,Female,Sales,Sales Executive,1,Germany
47,72561.0,22,19,14,66,,5,2.43,3,870732.0,2,,0.10638297872340426,Other,HR,HR Executive,2,Germany
56,68809.0,29,17,13,12,1.0,8,1.37,4,825708.0,9,1.185,0.14285714285714285,Female,Support,Support Engineer,3,India
35,93279.0,2,14,13,35,,7,7.27,5,1119348.0,4,,0.2,Female,IT,Tester,5,France
27,55650.0,9,4,14,18,1.0,10,7.53,3,667800.0,7,4.265000000000001,0.37037037037037035,Female,Support,Helpdesk,3,USA
59,74552.0,11,5,11,8,,7,6.97,5,894624.0,5,,0.11864406779661017,Other,HR,HR Executive,1,USA
55,145869.0,22,5,3,29,,6,4.77,5,1750428.0,6,,0.10909090909090909,Other,Finance,Auditor,5,UK
45,148129.0,9,19,14,8,,11,5.03,3,1777548.0,4,,0.24444444444444444,Male,HR,HR Manager,4,USA
38,44652.0,9,18,12,50,,14,5.2,3,535824.0,14,,0.3684210526315789,Female,Marketing,Content Lead,3,USA
39,178756.0,27,12,13,76,,2,2.6,5,2145072.0,2,,0.05128205128205128,Male,Marketing,SEO Analyst,2,UK
56,110538.0,32,3,4,38,,9,3.1,3,1326456.0,8,,0.16071428571428573,Female,Finance,Auditor,5,USA
40,39286.0,12,25,11,52,,12,3.43,4,471432.0,7,,0.3,Female,IT,Engineer,5,USA
30,55595.0,4,13,6,36,,4,7.03,4,667140.0,5,,0.13333333333333333,Male,IT,Developer,4,France
56,168010.0,32,17,14,65,1.0,3,0.77,5,2016120.0,4,0.885,0.05357142857142857,Other,Sales,Account Manager,5,India
50,71526.0,24,7,3,10,,10,4.03,2,858312.0,4,,0.2,Other,IT,Tester,3,France
23,152981.0,3,8,14,56,9.0,7,8.07,4,1835772.0,6,8.535,0.30434782608695654,Male,Sales,Account Manager,1,UK
51,60483.0,16,23,8,38,6.0,6,2.97,3,725796.0,5,4.485,0.11764705882352941,Other,Support,Helpdesk,5,India
53,37564.0,10,0,2,41,10.0,4,8.0,3,450768.0,5,9.0,0.07547169811320754,Other,Sales,Account Manager,2,Germany
52,103473.0,11,0,5,80,5.0,4,7.8,3,1241676.0,3,6.4,0.07692307692307693,Male,Support,Support Engineer,2,USA
43,98618.0,6,1,8,42,,14,8.63,3,1183416.0,5,,0.32558139534883723,Male,HR,HR Manager,5,UK
28,69768.0,21,8,4,13,1.0,10,4.47,4,837216.0,7,2.735,0.35714285714285715,Other,Sales,Account Manager,2,France
32,124262.0,16,27,1,76,8.0,11,2.3,4,1491144.0,4,5.15,0.34375,Other,Sales,Account Manager,4,USA
48,31181.0,32,1,10,15,10.0,11,3.43,3,374172.0,11,6.715,0.22916666666666666,Female,Support,Support Engineer,1,USA
48,139956.0,35,0,10,10,,10,3.0,3,1679472.0,7,,0.20833333333333334,Male,Marketing,Content Lead,2,UK
34,53489.0,23,27,3,51,,6,0.9,3,641868.0,7,,0.17647058823529413,Other,HR,HR Executive,2,Germany
34,123313.0,12,21,5,25,7.0,5,4.1,4,1479756.0,6,5.55,0.14705882352941177,Other,Sales,Account Manager,1,Canada
52,34410.0,3,8,3,26,,4,8.07,4,412920.0,4,,0.07692307692307693,Other,IT,Tester,5,USA
54,35504.0,30,20,9,8,,9,0.67,4,426048.0,8,,0.16666666666666666,Male,Marketing,SEO Analyst,2,France
41,47809.0,37,20,2,71,,8,-0.73,4,573708.0,3,,0.1951219512195122,Other,HR,HR Executive,4,USA
33,152793.0,30,14,11,51,,2,1.67,3,1833516.0,3,,0.06060606060606061,Male,IT,Developer,1,Germany
51,144222.0,23,16,15,75,,8,2.73,4,1730664.0,3,,0.1568627450980392,Male,HR,HR Executive,2,UK
55,122095.0,15,0,13,32,,7,7.0,4,1465140.0,6,,0.12727272727272726,Female,Marketing,Content Lead,5,Canada
60,176852.0,18,9,2,62,3.0,13,4.9,5,2122224.0,12,3.95,0.21666666666666667,Other,Support,Support Engineer,3,UK
51,138076.0,2,15,7,47,3.0,15,7.1,3,1656912.0,4,5.05,0.29411764705882354,Male,Sales,Sales Executive,4,USA
53,166057.0,33,17,2,77,1.0,2,0.57,3,1992684.0,2,0.7849999999999999,0.03773584905660377,Male,Support,Helpdesk,1,Germany
35,81547.0,37,9,3,30,,4,1.1,4,978564.0,5,,0.11428571428571428,Female,Finance,Accountant,3,France
47,78148.0,5,10,4,22,,8,7.33,5,937776.0,2,,0.1702127659574468,Female,HR,HR Executive,4,Canada
25,57534.0,39,3,15,14,,5,1.7,3,690408.0,4,,0.2,Female,HR,HR Manager,2,India
60,77413.0,27,0,6,50,,15,4.6,2,928956.0,6,,0.25,Other,IT,Tester,3,Canada
31,143831.0,17,0,13,72,,2,6.6,3,1725972.0,3,,0.06451612903225806,Female,IT,Tester,1,Germany
28,126163.0,6,10,11,15,,3,7.13,3,1513956.0,4,,0.10714285714285714,Female,HR,HR Manager,2,France
34,151729.0,35,0,14,46,,5,3.0,3,1820748.0,6,,0.14705882352941177,Other,HR,HR Executive,1,Germany
33,44773.0,6,7,5,57,8.0,10,7.63,3,537276.0,6,7.8149999999999995,0.30303030303030304,Other,Support,Support Engineer,1,India
60,115425.0,40,25,5,78,1.0,5,-2.17,1,1385100.0,2,-0.585,0.08333333333333333,Female,Sales,Account Manager,1,Canada
60,52297.0,39,1,12,72,,13,2.03,5,627564.0,9,,0.21666666666666667,Other,Marketing,SEO Analyst,3,France
22,166881.0,6,1,13,77,,12,8.63,3,2002572.0,6,,0.5454545454545454,Female,HR,HR Manager,3,UK
39,38986.0,8,13,12,53,10.0,13,6.23,1,467832.0,11,8.115,0.3333333333333333,Female,Support,Support Engineer,2,UK
43,172355.0,27,11,13,43,,13,2.77,4,2068260.0,2,,0.3023255813953488,Other,Marketing,Content Lead,5,India
51,43852.0,39,14,11,73,,2,-0.13,4,526224.0,2,,0.0392156862745098,Other,Marketing,SEO Analyst,1,India
24,134669.0,28,24,11,45,4.0,9,0.4,3,1616028.0,2,2.2,0.375,Male,Support,Helpdesk,2,Germany
59,126177.0,10,15,10,78,3.0,2,5.5,1,1514124.0,3,4.25,0.03389830508474576,Male,Support,Helpdesk,4,Germany
49,47221.0,12,4,3,56,6.0,15,6.93,4,566652.0,8,6.465,0.30612244897959184,Male,Sales,Account Manager,5,UK
34,88315.0,22,17,12,24,,9,2.77,2,1059780.0,9,,0.2647058823529412,Other,Marketing,SEO Analyst,5,UK
49,139006.0,23,26,3,79,8.0,14,1.07,2,1668072.0,11,4.535,0.2857142857142857,Male,Support,Helpdesk,1,France
30,124984.0,12,6,5,75,3.0,4,6.6,3,1499808.0,5,4.8,0.13333333333333333,Other,Support,Helpdesk,3,UK
51,48033.0,8,2,7,70,4.0,11,8.07,3,576396.0,4,6.035,0.21568627450980393,Other,Support,Support Engineer,2,Germany
28,176131.0,18,16,1,27,4.0,8,3.73,3,2113572.0,9,3.865,0.2857142857142857,Female,Sales,Account Manager,4,USA
58,83089.0,4,26,3,45,,11,4.87,2,997068.0,12,,0.1896551724137931,Other,Finance,Auditor,5,India
33,65067.0,31,9,7,25,1.0,3,2.3,4,780804.0,4,1.65,0.09090909090909091,Female,Sales,Sales Executive,2,Canada
29,35093.0,37,13,5,35,,11,0.43,4,421116.0,2,,0.3793103448275862,Other,IT,Developer,3,Germany
33,161083.0,16,15,12,58,6.0,4,4.3,3,1932996.0,2,5.15,0.12121212121212122,Female,Support,Support Engineer,2,India
26,142521.0,23,5,15,79,4.0,14,4.57,4,1710252.0,14,4.285,0.5384615384615384,Male,Support,Support Engineer,2,India
55,98836.0,40,6,7,26,,4,1.0,2,1186032.0,5,,0.07272727272727272,Other,Finance,Accountant,3,India
23,36596.0,20,22,8,7,,9,2.33,5,439152.0,6,,0.391304347826087,Other,Finance,Auditor,5,France
25,79311.0,9,20,1,7,,3,4.87,4,951732.0,3,,0.12,Male,HR,HR Executive,3,UK
51,177547.0,39,16,13,11,,6,-0.47,3,2130564.0,3,,0.11764705882352941,Other,IT,Engineer,3,India
51,139711.0,39,28,6,17,7.0,6,-2.47,5,1676532.0,6,2.2649999999999997,0.11764705882352941,Male,Support,Support Engineer,1,UK
23,133661.0,25,11,13,36,,14,3.17,4,1603932.0,5,,0.6086956521739131,Female,Finance,Auditor,2,Canada
55,119959.0,26,4,6,6,3.0,8,4.13,3,1439508.0,3,3.565,0.14545454545454545,Other,Support,Helpdesk,2,USA
29,41236.0,37,17,6,26,,13,-0.23,4,494832.0,2,,0.4482758620689655,Male,HR,HR Manager,3,UK
36,60667.0,4,11,7,12,,5,7.37,4,728004.0,6,,0.1388888888888889,Male,HR,HR Executive,1,UK
57,85219.0,20,5,12,73,,11,5.17,4,1022628.0,6,,0.19298245614035087,Male,Finance,Accountant,3,India
22,113299.0,13,7,11,69,,8,6.23,2,1359588.0,4,,0.36363636363636365,Male,IT,Tester,5,Canada
35,73218.0,39,2,2,15,,4,1.87,2,878616.0,2,,0.11428571428571428,Other,IT,Engineer,4,Germany
51,166935.0,17,29,2,13,,10,1.77,5,2003220.0,6,,0.19607843137254902,Other,Finance,Accountant,4,USA
21,149268.0,25,4,2,42,,10,4.33,5,1791216.0,7,,0.47619047619047616,Female,Finance,Accountant,1,France
24,167109.0,22,15,15,21,,2,3.1,3,2005308.0,3,,0.08333333333333333,Female,Marketing,SEO Analyst,5,UK
23,44615.0,10,20,1,67,,5,4.67,5,535380.0,2,,0.21739130434782608,Female,HR,HR Executive,3,India
40,174938.0,33,26,3,7,,6,-0.93,3,2099256.0,5,,0.15,Female,Marketing,Content Lead,2,UK
55,141609.0,8,22,7,14,8.0,9,4.73,4,1699308.0,7,6.365,0.16363636363636364,Male,Sales,Sales Executive,2,Canada
48,143395.0,26,30,15,61,10.0,2,-0.2,2,1720740.0,3,4.9,0.041666666666666664,Male,Support,Helpdesk,1,USA
48,91560.0,32,28,6,54,7.0,6,-1.07,4,1098720.0,2,2.965,0.125,Male,Support,Support Engineer,5,Germany
42,178594.0,4,1,10,8,3.0,2,9.03,3,2143128.0,2,6.015,0.047619047619047616,Female,Sales,Account Manager,4,UK
49,136861.0,6,27,11,34,2.0,12,4.3,3,1642332.0,9,3.15,0.24489795918367346,Other,Sales,Sales Executive,1,India
48,70640.0,13,16,13,64,,7,4.73,2,847680.0,3,,0.14583333333333334,Female,Finance,Auditor,3,Germany
60,86918.0,35,25,10,14,7.0,15,-1.17,5,1043016.0,8,2.915,0.25,Male,Sales,Account Manager,1,Canada
27,87099.0,9,24,3,30,4.0,7,4.2,3,1045188.0,3,4.1,0.25925925925925924,Female,Sales,Sales Executive,3,Canada
52,33037.0,18,6,7,46,8.0,8,5.4,3,396444.0,5,6.7,0.15384615384615385,Other,Sales,Account Manager,2,Canada
38,143214.0,36,28,11,30,,8,-1.87,5,1718568.0,5,,0.21052631578947367,Female,HR,HR Manager,4,USA
30,168202.0,17,14,1,80,,3,4.27,5,2018424.0,3,,0.1,Female,Marketing,SEO Analyst,2,India
25,151301.0,31,30,12,46,,15,-1.2,4,1815612.0,8,,0.6,Other,IT,Engineer,3,UK
35,32158.0,10,18,6,48,,3,5.0,4,385896.0,2,,0.08571428571428572,Male,IT,Developer,5,Germany
42,122405.0,16,16,12,21,,2,4.13,3,1468860.0,3,,0.047619047619047616,Other,Finance,Auditor,5,Canada
39,33150.0,3,20,14,28,3.0,2,6.07,4,397800.0,3,4.535,0.05128205128205128,Female,Support,Support Engineer,1,India
55,70445.0,25,11,14,33,5.0,13,3.17,2,845340.0,2,4.085,0.23636363636363636,Other,Sales,Sales Executive,4,France
24,173731.0,28,25,4,23,,6,0.23,4,2084772.0,7,,0.25,Female,Marketing,Content Lead,4,India
26,35989.0,16,6,6,72,,9,5.8,3,431868.0,10,,0.34615384615384615,Female,HR,HR Executive,3,India
