EmployeeID,Department,JobRole,Age,Gender,YearsAtCompany,MonthlySalary,PerformanceRating,Attrition_Prob,Risk,Satisfaction,WorkLifeBalance,Engagement_Score,Gap_Count,Skill_Gap,Top_Recommendation,Training_Duration,Skill_Gap_Str
11,HR,HR Executive,52,Other,10,64215,3,0.0887,LOW,3.02,2.99,2.94,397,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
12,Support,Helpdesk,55,Male,14,76960,5,0.0707,LOW,3.02,2.99,2.94,400,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
13,Finance,Accountant,47,Male,5,151391,4,0.1216,LOW,3.02,2.99,2.94,1433,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
14,HR,HR Manager,50,Female,13,170862,4,0.0178,LOW,3.02,2.99,2.94,397,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
15,IT,Developer,26,Male,7,161974,3,0.0699,LOW,3.02,2.99,2.94,2491,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Google Analytics Certification,3 weeks,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
16,Marketing,SEO Analyst,43,Female,5,164012,3,0.0564,LOW,3.02,2.99,2.94,175,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Marketo Marketing Automation']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
17,Support,Support Engineer,41,Other,11,70403,3,0.0435,LOW,3.02,2.99,2.94,400,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
18,IT,Tester,39,Female,15,173689,3,0.418,MEDIUM,3.02,2.99,2.94,2492,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
19,Support,Helpdesk,47,Male,15,122403,1,0.0904,LOW,3.02,2.99,2.94,400,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
20,Support,Support Engineer,23,Other,10,65010,3,0.128,LOW,3.02,2.99,2.94,399,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
21,Support,Support Engineer,54,Female,2,75646,3,0.0551,LOW,3.02,2.99,2.94,399,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
22,Sales,Sales Executive,60,Other,14,130906,4,0.2498,LOW,3.02,2.99,2.94,669,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
23,IT,Tester,42,Male,6,176048,3,0.2831,LOW,3.02,2.99,2.94,2491,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
24,IT,Tester,57,Female,3,68060,2,0.5025,MEDIUM,3.02,2.99,2.94,2492,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Google Analytics Certification,3 weeks,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
25,Marketing,Content Lead,59,Other,5,62282,4,0.5113,MEDIUM,3.02,2.99,2.94,175,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Microsoft Excel']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
26,Marketing,SEO Analyst,28,Other,2,89567,3,0.5751,MEDIUM,3.02,2.99,2.94,175,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Marketo Marketing Automation']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
27,Sales,Sales Executive,33,Other,11,82449,4,0.6864,HIGH,3.02,2.99,2.94,669,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
28,Marketing,Content Lead,52,Female,4,41883,2,0.1405,LOW,3.02,2.99,2.94,175,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Marketo Marketing Automation']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
29,Finance,Accountant,46,Male,15,74577,3,0.6182,HIGH,3.02,2.99,2.94,1433,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
30,Support,Support Engineer,23,Male,12,104549,4,0.4899,MEDIUM,3.02,2.99,2.94,399,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
31,IT,Developer,60,Other,4,74638,4,0.6965,HIGH,3.02,2.99,2.94,2494,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
32,Marketing,Content Lead,50,Male,5,103189,3,0.0706,LOW,3.02,2.99,2.94,175,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Marketo Marketing Automation']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
33,IT,Tester,43,Male,12,41254,1,0.1229,LOW,3.02,2.99,2.94,2492,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Google Analytics Certification,3 weeks,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
34,IT,Engineer,33,Male,8,152027,3,0.272,LOW,3.02,2.99,2.94,2491,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Google Analytics Certification,3 weeks,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
35,Marketing,SEO Analyst,27,Male,4,109614,4,0.2114,LOW,3.02,2.99,2.94,176,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Microsoft Excel']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
36,Finance,Auditor,32,Male,7,38475,3,0.5607,MEDIUM,3.02,2.99,2.94,1433,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
37,Marketing,Content Lead,43,Male,6,72671,3,0.5064,MEDIUM,3.02,2.99,2.94,176,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Marketo Marketing Automation']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
38,Finance,Accountant,58,Male,15,34306,4,0.6451,HIGH,3.02,2.99,2.94,1433,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
39,Finance,Auditor,22,Other,14,73324,3,0.5577,MEDIUM,3.02,2.99,2.94,1433,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
40,Finance,Auditor,39,Male,13,163576,3,0.0655,LOW,3.02,2.99,2.94,1433,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
41,Sales,Account Manager,22,Male,9,49953,3,0.0727,LOW,3.02,2.99,2.94,669,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
42,Marketing,Content Lead,41,Female,6,108906,3,0.0295,LOW,3.02,2.99,2.94,175,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Microsoft Excel']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
43,Marketing,Content Lead,23,Male,15,78457,5,0.0837,LOW,3.02,2.99,2.94,177,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Microsoft Excel']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
44,IT,Engineer,55,Female,14,37533,4,0.5927,MEDIUM,3.02,2.99,2.94,2494,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
45,Finance,Accountant,33,Female,7,171225,4,0.647,HIGH,3.02,2.99,2.94,1432,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
46,IT,Developer,21,Male,9,101051,1,0.7291,HIGH,3.02,2.99,2.94,2493,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Google Analytics Certification,3 weeks,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
47,Sales,Account Manager,33,Other,7,50654,4,0.4027,MEDIUM,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
48,Sales,Sales Executive,22,Other,7,71622,4,0.5454,MEDIUM,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
49,Support,Helpdesk,23,Male,4,132390,4,0.0882,LOW,3.02,2.99,2.94,399,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
50,IT,Tester,54,Female,2,179351,3,0.5139,MEDIUM,3.02,2.99,2.94,2494,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Advanced Excel,2 weeks,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
51,Sales,Sales Executive,57,Female,10,50691,4,0.5515,MEDIUM,3.02,2.99,2.94,669,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
52,Support,Support Engineer,52,Other,14,163863,4,0.5069,MEDIUM,3.02,2.99,2.94,400,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
53,Marketing,SEO Analyst,36,Male,4,134280,5,0.048,LOW,3.02,2.99,2.94,175,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Marketo Marketing Automation']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
54,Finance,Auditor,52,Female,14,38519,2,0.0806,LOW,3.02,2.99,2.94,1434,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
55,Finance,Accountant,35,Female,4,153394,3,0.5574,MEDIUM,3.02,2.99,2.94,1433,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
56,IT,Developer,48,Male,7,42964,2,0.0699,LOW,3.02,2.99,2.94,2495,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
57,IT,Developer,30,Other,6,52745,1,0.1459,LOW,3.02,2.99,2.94,2491,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
58,Support,Helpdesk,34,Other,13,37431,3,0.0961,LOW,3.02,2.99,2.94,401,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
59,Marketing,SEO Analyst,22,Male,3,124008,4,0.5671,MEDIUM,3.02,2.99,2.94,177,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Microsoft Excel']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
60,HR,HR Executive,48,Male,8,128442,4,0.0428,LOW,3.02,2.99,2.94,396,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
61,HR,HR Manager,57,Other,10,137226,2,0.6566,HIGH,3.02,2.99,2.94,397,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
62,IT,Tester,48,Female,5,150377,4,0.2453,LOW,3.02,2.99,2.94,2493,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
63,HR,HR Manager,27,Female,13,161874,5,0.0708,LOW,3.02,2.99,2.94,397,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
64,Support,Helpdesk,32,Female,6,39558,3,0.1482,LOW,3.02,2.99,2.94,401,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
65,Sales,Account Manager,60,Male,12,49620,3,0.4042,MEDIUM,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
66,Marketing,Content Lead,34,Female,4,86861,3,0.3494,MEDIUM,3.02,2.99,2.94,176,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Microsoft Excel']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
67,Sales,Sales Executive,22,Female,2,155851,4,0.1642,LOW,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
68,Sales,Sales Executive,21,Female,14,72637,2,0.7238,HIGH,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
69,Sales,Account Manager,26,Female,13,151643,4,0.0244,LOW,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
70,Finance,Accountant,37,Female,10,155727,2,0.7885,HIGH,3.02,2.99,2.94,1434,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
71,HR,HR Executive,55,Female,7,71487,5,0.0631,LOW,3.02,2.99,2.94,396,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
72,Marketing,Content Lead,23,Female,14,169631,4,0.0608,LOW,3.02,2.99,2.94,175,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Microsoft Excel']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
73,IT,Developer,29,Male,4,56935,4,0.6659,HIGH,3.02,2.99,2.94,2494,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Advanced Excel,2 weeks,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
74,Sales,Sales Executive,32,Female,2,68664,3,0.3338,MEDIUM,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
75,IT,Developer,31,Other,11,129732,4,0.5089,MEDIUM,3.02,2.99,2.94,2494,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
76,HR,HR Manager,21,Female,11,36008,2,0.0356,LOW,3.02,2.99,2.94,397,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
77,Sales,Sales Executive,25,Other,12,163071,4,0.128,LOW,3.02,2.99,2.94,671,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
78,Sales,Sales Executive,26,Other,3,44713,3,0.3665,MEDIUM,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
79,Marketing,Content Lead,46,Male,4,73718,4,0.037,LOW,3.02,2.99,2.94,175,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Marketo Marketing Automation']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
80,HR,HR Manager,47,Other,11,142815,2,0.7313,HIGH,3.02,2.99,2.94,396,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
81,Support,Helpdesk,43,Male,11,82938,4,0.1635,LOW,3.02,2.99,2.94,401,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
82,IT,Engineer,22,Female,5,32356,2,0.0451,LOW,3.02,2.99,2.94,2493,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Google Analytics Certification,3 weeks,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
83,IT,Developer,28,Other,5,150136,4,0.6547,HIGH,3.02,2.99,2.94,2494,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
