O*NET-SOC Code,Title,Description,Essential_Skills,Software_Skills,Hot_Technologies
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.","['Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Reading Comprehension']","['Payroll software', 'ZedX AgFleet', 'CattleWorks', 'Midwest MicroSystems Cow Sense', 'Pear Technology Fieldman Farmer', 'Countryside Data Ag Payroll', 'Statistical analysis software', 'TatukGIS Editor', 'AGCO Advanced Technology Solutions Fieldstar', 'Cattlesoft CattleMax', 'Agevo Farm Manager', 'i.Agri LandMark Farm', 'Red Wing Software CenterPoint Accounting for Agriculture', 'Specialized Data Systems Ultra Farm', 'Sunrise Software CropSave', 'Trimble AgGPS EZ-Map', 'Alua Software Paddock Pro', 'Delta Data Systems AGIS', 'Farm Files Livestock', 'Custom Software Group CSG AgroSys', 'MapShots EASi Suite', 'SAP software', 'Brihzon Solutions SMART Dairy Resource Planning', 'Staff scheduling software', 'Geographic resources analysis support system GRASS', 'PigCHAMP Care 3000', 'Stenco Technologies Farm Trends', 'Hatchery database systems', 'Oracle NetSuite', 'TapLogic FarmLogic', 'CDA International Manifold System', 'SST Development Group SSToolbox', 'Microsoft PowerPoint', 'Farm Business Software Systems Smart Feeder', 'KELTEC Systems HerdMaster', 'Resource planning software', 'Time reporting software', 'ProducePak Mobile Farm Management', 'Vertical Solutions Easy-Farm Accounting', 'Web browser software', 'Email software', 'Lion Edge Technologies Ranch Manager', 'MapInfo', 'Microsoft Word', 'Global positioning system GPS software', 'Fish stocking databases', 'Ag Leader Technology SMS Advanced', 'Atlassian Confluence', 'Global Mapper Software Global Mapper', 'EZ-Ranch', 'Sanders Software Consulting FarmBooks', 'AgData Blue Skies Accounting', 'Facebook', 'Adobe Photoshop', 'DIVA-GIS', 'Geographic information system GIS systems', 'Trimble Farm Works', 'Advanced Veterinary Services Ranch Vision', ""Datatech The Farmer's Office"", 'ESRI ArcPad', 'Microsoft Excel', 'AgriSoft/CMC AgriSoft/ERP', 'AquaSoft Farm Manager', 'SST Development Group Stratus', 'Microsoft Office software', 'Microsoft Visio', 'Ag Connections Land.db', 'Microsoft Access', 'AgTerra Technologies AgTrac', 'John Deere Apex Farm Management', 'Argos Software ABECAS Insight', 'Innovative Software Solutions Picas', 'International Response Technologies CowChip - Ranch House', 'Accutech Systems Corporation AccuFarm-MGR', 'Microsoft Outlook', 'Farm Files Crops']","['Microsoft Word', 'Microsoft Office software', 'Atlassian Confluence', 'Microsoft Visio', 'Microsoft Access', 'Microsoft PowerPoint', 'SAP software', 'Facebook', 'Adobe Photoshop', 'Microsoft Outlook', 'Microsoft Excel']"
11-9021.00,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.","['Active Learning', 'Active Listening', 'Critical Thinking', 'Monitoring', 'Reading Comprehension']","['Dropbox', 'Profitool software (time accounting feature)', 'Profitool GearWatch', 'CSI WSE CodeBuddy', 'Site Manager', 'Autodesk AutoCAD Civil 3D', 'QuickBase business management software', 'Yardi software', 'CBS ProLog Manager', 'Microsoft SharePoint', 'LinkedIn', 'Quantum Software Solutions Quantum Project Manager', '3M Post-it App', 'SAP software', 'Oracle Primavera Enterprise Project Portfolio Management', 'IMPACT software', 'Adobe Acrobat', 'Autodesk Revit', 'Google Docs', 'Procore software', 'AEC Software FastTrack Schedule', 'Lombardi Teamworks', 'Sage 300 Construction and Real Estate', 'Trimble SketchUp Pro', 'Microsoft Internet Explorer', 'Cadsoft Design/Build', 'Database software', 'Axios Systems assyst', 'Microsoft PowerPoint', 'Loom', 'Jobber Computer Plus', 'Email software', 'Computer aided design and drafting software CADD', 'Microsoft Project', 'Microsoft Word', 'Scheduling software', 'HCSS HeavyBid', 'ArenaSoft Estimating', 'Microsoft Dynamics', 'Profitool software (human resources feature)', 'Supervisory control and data acquisition SCADA software', 'VirtualBoss', 'Integrated construction management software', 'Sage 100 Contractor', 'Daily Manager', 'HCSS HeavyJob', 'Adobe Creative Cloud software', 'ISS Construction Manager', 'Microsoft Excel', 'Autodesk AutoCAD', 'Bechtel Software SETROUTE', 'Explorer Engineer', 'Microsoft Office software', 'Microsoft Visio', 'Drone image capturing software', 'Oracle JD Edwards EnterpriseOne', 'SRC Cash Flow Forecasting', 'UDA Technologies ConstructionSuite', 'Microsoft Access', 'Google Drive', 'Microsoft Outlook']","['Autodesk AutoCAD Civil 3D', 'Yardi software', 'Microsoft SharePoint', 'SAP software', 'Oracle Primavera Enterprise Project Portfolio Management', 'Adobe Acrobat', 'Autodesk Revit', 'Google Docs', 'Procore software', 'Trimble SketchUp Pro', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Word', 'Adobe Creative Cloud software', 'Microsoft Excel', 'Autodesk AutoCAD', 'Microsoft Office software', 'Microsoft Visio', 'Microsoft Access', 'Microsoft Outlook']"
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.","['Active Listening', 'Speaking', 'Critical Thinking', 'Writing', 'Reading Comprehension']","['SDS Software Solutions DayCare Information Systems PRO', 'OnCare Advantage', 'SoftCare CenterCare', 'Microsoft Publisher', 'Professional Solutions ProCare', 'Tadpoles', 'Intuit QuickBooks', 'The Gallagher Group DataCare', 'SofterWare EZ-CARE2', 'Kressa Software SchoolLeader', 'Mount Taylor Programs Private Advantage', 'GroupMe', 'MAGGEY Child Care Management Software', 'ParentSquare', 'Microsoft PowerPoint', 'Quicken', 'eChurch.com SchoolPerfect', 'Bloomz', 'Microsoft Word', 'Orgmation iCare', 'Personalized Software Childcare Manager', 'Jackrabbit Technologies Jackrabbit Care', 'Auburn Software Debit Square', 'Emerging Technologies Office Center', 'ScholarCare', 'Cirrus Group Daycare Works', 'Microsoft Excel', 'Microsoft Office software', 'ACS Technologies HeadMaster', 'B&I Computer Consultants Childcare Sage', 'ONE Software KidsONE', 'PraxiPower PraxiSchool', 'Web browser software', 'Microsoft Outlook']","['Microsoft Word', 'Intuit QuickBooks', 'Microsoft Office software', 'Microsoft PowerPoint', 'Microsoft Outlook', 'Microsoft Excel']"
11-9032.00,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.","['Active Listening', 'Speaking', 'Critical Thinking', 'Learning Strategies', 'Reading Comprehension']","['Microsoft Publisher', 'Seesaw', 'Robust Software Overseer Suite', 'SAS', 'Skyward School Management System', 'Nearpod', 'L-Systems X-ONE', 'Microsoft SharePoint', 'Google Classroom', 'Seasia Consulting School Wizard', 'Attendance tracking software', 'Minitab', 'SunGard Public Sector IFAS', 'Geogebra', 'eDistrict Internet Solutions eDistrict Unified', 'LogicalBit Eimas', 'Thinc Technologies Virtual School', 'Schoology', 'ParentSquare', 'SchoolDESX', 'Computer Resources MMS', 'Microsoft PowerPoint', 'Wilcomp Software RenWeb', 'RecordKeeper Software School RecordKeeper', 'Bloomz', 'Desmos', 'Microsoft Word', 'Rediker Software School Office Suite', 'Scheduling software', 'Student information systems SIS software', 'Pearson PowerSchool', 'Google Gmail', 'StataCorp Stata', 'Blackbaud The Education Edge', 'Blackboard software', 'Common Curriculum', 'Google Calendar', 'Human resource management software HRMS', 'IBM SPSS Statistics', 'Effexoft EASI', 'Intrado SchoolMessenger', 'Rethink Ed', 'The MathWorks MATLAB', 'Microsoft Excel', 'Specialized Data Systems School Office', 'Microsoft Office software', 'ACS Technologies HeadMaster', 'IBM Domino', 'Edulastic', 'NetSuite ERP', 'Microsoft Access', 'Web browser software', 'School Attendance Keeper', 'Google Drive', 'Microsoft Outlook', 'Apache Cassandra', 'Microsoft Dynamics GP']","['Microsoft Word', 'Microsoft Office software', 'The MathWorks MATLAB', 'IBM SPSS Statistics', 'Microsoft Access', 'SAS', 'Microsoft PowerPoint', 'Microsoft SharePoint', 'Microsoft Outlook', 'Apache Cassandra', 'Microsoft Excel']"
11-9033.00,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.","['Active Listening', 'Speaking', 'Critical Thinking', 'Writing', 'Reading Comprehension']","['Microsoft Publisher', 'Poll Everywhere', 'YouTube', 'Ellucian Degree Works', 'Google Sites', 'Moodle', 'Oracle PeopleSoft', 'CollegeNET Schedule 25', 'SAS', 'Microsoft SharePoint', 'LinkedIn', 'Google Classroom', 'Fund accounting software', 'Hypertext markup language HTML', 'SAP software', ""Blackbaud The Raiser's Edge"", 'IBM Cognos Impromptu', 'Google Meet', 'Nolij Corporation Nolij Transfer', 'Google Docs', 'Ellucian Colleague', 'Minitab', 'Jenzabar EX', 'Mentimeter', 'Schoology', 'ParentSquare', 'GroupMe', 'Database software', 'Microsoft PowerPoint', 'Pear Deck', 'Oracle PeopleSoft Financials', 'Microsoft Project', 'Microsoft Word', 'Student information systems SIS software', 'SunGard Higher Education Banner Unified Digital Campus', 'Adobe Dreamweaver', 'Microsoft Dynamics', 'Blackboard software', 'Common Curriculum', 'Enterprise resource planning ERP system', 'Human resource management software HRMS', 'IBM SPSS Statistics', 'Social media sites', 'StataCorp Stata', 'Facebook', 'Intrado SchoolMessenger', 'Microsoft Excel', 'Microsoft Office software', 'Microsoft Visio', 'Student and Exchange Visitor Information System SEVIS', 'Instructure Canvas', 'Sage 50 Accounting', 'Microsoft Access', 'SAP BusinessObjects Crystal Reports', 'Web browser software', 'Screencastify', 'Google Drive', 'FileMaker Pro', 'Microsoft Outlook']","['Google Docs', 'Microsoft Project', 'Microsoft Word', 'Microsoft Office software', 'Microsoft Visio', 'Oracle PeopleSoft', 'IBM SPSS Statistics', 'Microsoft Access', 'SAS', 'Microsoft PowerPoint', 'Microsoft SharePoint', 'Facebook', 'SAP software', 'Hypertext markup language HTML', 'Microsoft Outlook', 'Microsoft Excel']"
11-9039.00,"Education Administrators, All Other",All education administrators not listed separately.,[],[],[]
11-9041.00,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.","['Active Listening', 'Mathematics', 'Speaking', 'Writing', 'Reading Comprehension']","['Teradata Database', 'IBM Notes', 'Maintenance scheduling software', 'UNIX', 'Backbone.js', 'Apache Hadoop', 'Citrix cloud computing software', 'Python', 'Minitab', 'Virtual private networking VPN software', 'Splunk Enterprise', 'Amazon Web Services AWS software', 'Kronos Workforce Timekeeper', 'Adobe LifeCycle ES', 'Dassault Systemes CATIA', 'Git', 'IBM SPSS Statistics', 'Extensible markup language XML', 'ESRI ArcGIS software', 'Django', 'Microsoft Visio', 'Realization Streamliner', 'GitHub', 'Chef', 'Ansible software', 'Microsoft Outlook', 'Apache Cassandra', 'Delcam PowerMILL', 'Adobe Acrobat Pro Extended', 'Drawing and drafting software', 'Perl', 'Puppet', 'Ruby on Rails', 'MongoDB', 'Wireshark', 'SAP software', 'Microsoft Exchange', 'Oracle Primavera Enterprise Project Portfolio Management', 'Qlik Tech QlikView', 'LAMP Stack', 'Structured query language SQL', 'Bash', 'C', 'Shell script', 'Apache Groovy', 'Apache Solr', 'ESRI ArcView', 'Microsoft Project', 'Microsoft Word', 'Microsoft SQL Server', 'NoSQL', 'Verilog', 'MicroStrategy', 'The MathWorks MATLAB', 'Microsoft Excel', 'Nagios', 'The Gordian Group PROGEN Online', 'C#', 'HEC-RAS', 'Workflow software', 'Microsoft Office software', 'Aptean Made2Manage', 'Ubuntu', 'Relational database management software', 'Open Mind hyperMILL', 'Customer information control system CICS', 'Apache Kafka', 'Geographic information system GIS software', 'C++', 'PostgreSQL', 'National Instruments LabVIEW', 'Water surface pressure gradient WSPG software', 'Amazon Elastic Compute Cloud EC2', 'Apache Hive', 'Apple macOS', 'Trimble SketchUp Pro', 'PTC Creo Parametric', 'Microsoft Visual Basic', 'Docker', 'Oracle Solaris', 'Cisco IOS', 'JavaScript', 'LSA Visual Easy Lean', 'Computer aided design and drafting software CADD', 'Scheduling software', 'R', 'Perforce Helix software', 'Supervisory control and data acquisition SCADA software', 'Autodesk VIZ', 'Apache Maven', 'Microsoft Dynamics NAV', 'Hewlett Packard LoadRunner', 'Atlassian JIRA', 'Oracle JD Edwards EnterpriseOne', 'PHP', 'Geometric CAMWorks', 'Sage 50 Accounting', 'Linux', 'RTA Fleet Management', 'React', 'Microsoft Azure software', 'Hewlett-Packard HP SolidDesigner', 'Apache Pig', 'Ruby', 'Autodesk AutoCAD Civil 3D', 'Dassault Systemes SolidWorks', 'Objective C', 'Amazon Redshift', 'Autodesk Revit', 'Microsoft PowerPoint', 'Swift', 'Oracle Java', 'Bentley MicroStation', 'Go', 'Atlassian Confluence', 'Microsoft Dynamics', 'JavaScript Object Notation JSON', 'Agile Product Lifecyle Management PLM', 'MySQL', 'Autodesk AutoCAD', 'Node.js', 'Elasticsearch', 'Scala', 'Microsoft Access', 'Web browser software', 'Amazon DynamoDB', 'HEC-1']","['Teradata Database', 'Apache Kafka', 'Ruby', 'C++', 'PostgreSQL', 'Perl', 'Autodesk AutoCAD Civil 3D', 'UNIX', 'Dassault Systemes SolidWorks', 'Puppet', 'MongoDB', 'Apache Hadoop', 'Amazon Redshift', 'Python', 'SAP software', 'Oracle Primavera Enterprise Project Portfolio Management', 'Amazon Elastic Compute Cloud EC2', 'Autodesk Revit', 'Structured query language SQL', 'Apache Hive', 'Apple macOS', 'Trimble SketchUp Pro', 'Microsoft Visual Basic', 'Docker', 'Bash', 'C', 'Microsoft PowerPoint', 'Shell script', 'JavaScript', 'Splunk Enterprise', 'Oracle Java', 'Swift', 'Amazon Web Services AWS software', 'Kronos Workforce Timekeeper', 'Bentley MicroStation', 'Microsoft Project', 'Microsoft Word', 'Git', 'Atlassian Confluence', 'Go', 'Microsoft SQL Server', 'R', 'NoSQL', 'IBM SPSS Statistics', 'Extensible markup language XML', 'ESRI ArcGIS software', 'Apache Maven', 'JavaScript Object Notation JSON', 'Microsoft Outlook', 'MySQL', 'Django', 'The MathWorks MATLAB', 'Microsoft Excel', 'C#', 'Autodesk AutoCAD', 'Atlassian JIRA', 'Amazon DynamoDB', 'Microsoft Office software', 'Microsoft Visio', 'Node.js', 'Elasticsearch', 'PHP', 'Scala', 'GitHub', 'Linux', 'Chef', 'Microsoft Access', 'Ansible software', 'React', 'Microsoft Azure software', 'Apache Cassandra']"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.","['Active Listening', 'Speaking', 'Critical Thinking', 'Writing', 'Reading Comprehension']","['Microsoft Great Plains Personal Data Keeper', 'GE Energy GateCycle', 'National Instruments LabVIEW', 'Perl', 'UNIX', 'Python', 'Fund accounting software', 'SAP software', 'Oracle Primavera Enterprise Project Portfolio Management', 'Formula translation/translator FORTRAN', 'Microsoft PowerPoint', 'Oracle Java', 'Adobe Illustrator', 'Email software', 'Microsoft Project', 'Fleet Asset Management and Optimization Solutions FAMOS PEPSE', 'Dassault Systemes CATIA', 'Microsoft Word', 'Microsoft SQL Server', 'Microsoft Dynamics', 'Microsoft Excel', 'Microsoft SQL Server Reporting Services SSRS', 'Ab Initio', 'Epic Systems', 'Microsoft Office software', 'Microsoft SQL Server Integration Services SSIS', 'Microsoft Visio', 'Linux', 'Structure query language SQL', 'Web browser software', 'Agilent ChemStation']","['Microsoft SQL Server Reporting Services SSRS', 'Microsoft Project', 'Microsoft Word', 'Epic Systems', 'Microsoft Office software', 'Microsoft SQL Server Integration Services SSIS', 'Microsoft SQL Server', 'Microsoft Visio', 'Perl', 'UNIX', 'Linux', 'Microsoft PowerPoint', 'Python', 'Oracle Java', 'Adobe Illustrator', 'SAP software', 'Oracle Primavera Enterprise Project Portfolio Management', 'Microsoft Excel']"
11-9051.00,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.","['Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Reading Comprehension']","['Dinerware Intuitive Restaurant', 'Evernote', 'iMagic Restaurant Reservation', 'Food Service Solutions FoodCo', 'Gift Certificates Plus Giftworks', 'Food Services Solutions DayCap', 'ReServe Interactive', 'SweetWARE nutraCoster', 'Google Docs', 'Army Food Management Information System', ""ChefDesk Chef's Calculators"", 'Culinary Software Services ChefTec', 'Intuit QuickBooks', 'Database software', 'Oracle Taleo', 'Microsoft PowerPoint', 'Aurora FoodPro', 'Apache Groovy', 'Food Service Solutions POSitive ID System', 'espSoftware Employee Schedule Partner', 'Microsoft Project', 'Microsoft Word', 'Microsoft Dynamics', 'Aestiva Employee Time Clock', 'Facebook', 'ValuSoft MasterCook', 'ClubSoft Food & Beverage Point of Sale', 'Microsoft Excel', 'DataTeam Lunch Express', 'Delphi Technology', 'Microsoft Office software', 'SoftCafe MenuPro', 'Restaurant Manager', 'IBM Domino', 'IPro Restaurant Inventory, Recipe & Menu Software', 'Google Drive', 'Microsoft Outlook']","['Google Docs', 'Microsoft Project', 'Microsoft Word', 'Intuit QuickBooks', 'Microsoft Office software', 'Microsoft PowerPoint', 'Facebook', 'Microsoft Outlook', 'Microsoft Excel']"
11-9071.00,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.","['Active Listening', 'Speaking', 'Critical Thinking', 'Writing', 'Monitoring']","['Employee scheduling software', 'Microsoft Word', 'Human resources management system HRMS', 'Microsoft Office software', 'Microsoft PowerPoint', 'Web browser software', 'Microsoft Outlook', 'Microsoft Excel']","['Microsoft Word', 'Microsoft Office software', 'Microsoft PowerPoint', 'Microsoft Outlook', 'Microsoft Excel']"
11-9072.00,"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.","['Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Reading Comprehension']","['Evernote', 'Dropbox', 'IBM Notes', 'YouTube', 'Oracle PeopleSoft', 'Slack', 'Flipgrid', 'SAS', 'Airtable', 'Google Ads', 'LinkedIn', 'Microsoft SharePoint', 'SAP software', 'Microsoft Exchange', 'Oracle Primavera Enterprise Project Portfolio Management', 'IBM Cognos Impromptu', 'Google Meet', 'Qlik Tech QlikView', 'Adobe Acrobat', 'Google Docs', 'HubSpot software', 'Intuit QuickBooks', 'Apple macOS', 'LogMeIn GoToMeeting', 'Microsoft Visual Basic', 'GroupMe', 'Oracle Hyperion', 'Blink', 'Oracle Taleo', 'Apple Keynote', 'Microsoft PowerPoint', 'Loom', 'Google Slides', 'Microsoft Project', 'Microsoft Word', 'Hewlett-Packard HP OpenVMS', 'Oracle Business Intelligence Enterprise Edition', 'Oracle Database', 'Atlassian Confluence', 'Microsoft Visual Basic for Applications VBA', 'Microsoft Dynamics', 'Blackboard software', 'Eko', 'IBM SPSS Statistics', 'Social media sites', 'Microsoft Windows', 'Facebook', 'Salesforce software', 'Microsoft Teams', 'LogMeIn GoToWebinar', 'Microsoft Excel', 'Marketo Marketing Automation', 'Microsoft Office software', 'Oracle JD Edwards EnterpriseOne', 'Microsoft Visio', 'NetSuite ERP', 'Linux', 'Microsoft Access', 'SAP Crystal Reports', 'Cisco Webex', 'ADP Workforce Now', 'Google Drive', 'Microsoft Outlook', 'Microsoft Dynamics GP']","['Oracle PeopleSoft', 'Slack', 'SAS', 'Microsoft SharePoint', 'SAP software', 'Oracle Primavera Enterprise Project Portfolio Management', 'Adobe Acrobat', 'Google Docs', 'HubSpot software', 'Intuit QuickBooks', 'Apple macOS', 'Microsoft Visual Basic', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Word', 'Oracle Database', 'Atlassian Confluence', 'Microsoft Visual Basic for Applications VBA', 'IBM SPSS Statistics', 'Microsoft Windows', 'Facebook', 'Salesforce software', 'Microsoft Teams', 'Microsoft Excel', 'Marketo Marketing Automation', 'Microsoft Office software', 'Microsoft Visio', 'Linux', 'Microsoft Access', 'Cisco Webex', 'Microsoft Outlook']"
11-9081.00,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.","['Active Listening', 'Speaking', 'Critical Thinking', 'Writing', 'Reading Comprehension']","['TCS Hotel Software Guest Tracker', 'Payroll software', 'Property management system PMS software', 'INN-Client Server Systems ICSS Atrium', 'Hotel management system software', 'Execu/Tech Systems HOTEL Premium', 'GraceSoft Easy InnKeeping Suite', 'Microsoft PowerPoint', 'Email software', 'iRez Systems Rezware XP7', 'Microsoft Word', 'Facebook', 'M-Tech Hotel Service Optimization System HotSOS', 'MICROS Systems OPERA Enterprise Solution OES', 'Anand Systems ASI FrontDesk', 'Microsoft Excel', 'RedSky IT Entirety e-Booking', 'Delphi Technology', 'Microsoft Office software', 'Oracle JD Edwards EnterpriseOne', 'ePOS Business Solutions System 3 POS', 'Enablez ResortSuite', 'Microsoft Access', 'Silverbyte Systems Optima Property Management System PMS', 'UniResMan', 'Microsoft Outlook', 'Housekeeping management software']","['Microsoft Word', 'Microsoft Office software', 'Microsoft Access', 'Microsoft PowerPoint', 'Facebook', 'Microsoft Outlook', 'Microsoft Excel']"
11-9111.00,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.","['Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Reading Comprehension']","['Oracle E-Business Suite Financials', 'SAP Business Objects', 'Teradata Database', 'IBM Notes', 'Veritas NetBackup', 'Cerner ProFile', 'e-MDs Bill', 'Google Ads', 'Citrix cloud computing software', 'Apache Hadoop', 'Yost Engineering CodeSearch Pro', 'Data entry software', 'Minitab', 'Contract management software', 'Oracle Taleo', 'Oracle PeopleSoft Financials', 'Allscripts healthcare automation software', 'ConceptDraw', 'Blackboard software', 'AcuStaf', 'IBM SPSS Statistics', 'Yost Engineering ABN Assistant', 'Social media sites', 'Facebook', 'Bed Management Suite', 'Yost Engineering ClaimScrub', 'ColorSoft AutoMatch', 'Microsoft Visio', 'Cisco Webex', 'IBM Power Systems software', 'Microsoft Outlook', 'MedFORCE Technologies WorkFLOW', 'MEDITECH software', 'Relative Values for Physicians', 'Microsoft Publisher', 'Oracle PeopleSoft', 'Yardi software', 'TeleTracking PreAdmit-Tracking', 'Electronic medical record EMR software', 'LexisNexis', 'Microsoft Exchange', 'IBM Cognos Impromptu', 'Oracle Primavera Enterprise Project Portfolio Management', 'Qlik Tech QlikView', 'Structured query language SQL', 'Intuit QuickBooks', 'Google Sheets', 'Yost Engineering EpiCoder', 'American Medical Association CodeManager', '3DGrid HIPAA Checkup', 'MEDITECH Medical and Practice Management MPM Suite', 'Microsoft Project', 'Microsoft Word', 'Oracle Business Intelligence Enterprise Edition', 'eClinicalWorks EHR software', 'McKesson Horizon Ambulatory Care', 'Medical procedure coding software', 'e-MDs Chart', 'Microsoft SQL Server', 'Human resource management software HRMS', 'GE Healthcare Centricity EMR', 'MicroStrategy', 'Microsoft Excel', 'Microsoft Office software', 'Oracle Fusion Applications', 'Misys Healthcare Systems Misys Tiger', 'PCC Pediatric Partner', 'Google Drive', 'Geographic information system GIS software', 'Healthcare common procedure coding system HCPCS', 'LinkedIn', 'Adobe Acrobat', 'Kodak Dental Systems Kodak SOFTDENT Practice management software PMS', 'Trimble SketchUp Pro', 'Microsoft Visual Basic', 'Database software', 'Dental Common Access System DENCAS', 'Nuance PaperPort Professional', 'e-MDs DocMan', 'Alteer Office', 'Emdeon HealthPro', 'R', 'StataCorp Stata', 'Apache Maven', 'Microsoft Windows', 'ArticSoft FileAssurity', 'Salesforce software', 'MEDENT', 'Integrated development environment IDE software', 'Marketo Marketing Automation', 'Oracle JD Edwards EnterpriseOne', 'Microsoft SQL Server Integration Services SSIS', 'IBM Domino', 'Sage 50 Accounting', 'SAP Crystal Reports', 'Yost Engineering EPStaffCheck', 'FileMaker Pro', 'Apache Pig', 'SmugMug Flickr', 'Tableau', 'SAS', 'Expert Health Data Programming Vitalnet', 'Microsoft SharePoint', 'Fund accounting software', ""Blackbaud The Raiser's Edge"", 'Google Meet', 'Google Docs', 'Autodesk Revit', 'DxCG RiskSmart', 'Oracle Hyperion', 'Microsoft PowerPoint', 'Medical condition coding software', 'PCC EHR', 'API Healthcare ActiveStaffer', 'CliniTrend', 'Microsoft Dynamics', 'Microsoft Teams', 'Microsoft SQL Server Reporting Services SSRS', 'Delphi Technology', 'Epic Systems', 'Current procedural terminology CPT software', 'Henry Schein Dentrix', 'Microsoft Access', 'e-MDs Schedule', 'Web browser software', 'CareCentric MestaMed']","['MEDITECH software', 'Teradata Database', 'Oracle PeopleSoft', 'Tableau', 'SAS', 'Yardi software', 'Microsoft SharePoint', 'Apache Hadoop', 'Oracle Primavera Enterprise Project Portfolio Management', 'Adobe Acrobat', 'Autodesk Revit', 'Google Docs', 'Structured query language SQL', 'Intuit QuickBooks', 'Google Sheets', 'Trimble SketchUp Pro', 'Microsoft Visual Basic', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Word', 'eClinicalWorks EHR software', 'Microsoft SQL Server', 'R', 'IBM SPSS Statistics', 'Apache Maven', 'Microsoft Windows', 'Facebook', 'Salesforce software', 'Microsoft Teams', 'Microsoft Excel', 'Microsoft SQL Server Reporting Services SSRS', 'Marketo Marketing Automation', 'Epic Systems', 'Microsoft Office software', 'Microsoft SQL Server Integration Services SSIS', 'Microsoft Visio', 'Henry Schein Dentrix', 'Microsoft Access', 'Cisco Webex', 'Microsoft Outlook']"
11-9121.00,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.","['Active Listening', 'Science', 'Critical Thinking', 'Monitoring', 'Reading Comprehension']","['IBM Lotus 1-2-3', 'SAP Business Objects', 'SAS', 'Microsoft SharePoint', 'SAP software', 'Adobe Acrobat', 'Structured query language SQL', 'Graphics software', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Word', 'Oracle Database', 'R', 'StataCorp Stata', 'IBM SPSS Statistics', 'ESRI ArcGIS software', 'Adobe Photoshop', 'The MathWorks MATLAB', 'Microsoft Excel', 'Integrated development environment IDE software', 'Laboratory information management system LIMS', 'Microsoft Office software', 'Microsoft Visio', 'Clinical trial management software', 'STATISTICA', 'Microsoft Access', 'Web browser software', 'Microsoft Outlook']","['SAS', 'Microsoft SharePoint', 'SAP software', 'Adobe Acrobat', 'Structured query language SQL', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Word', 'Oracle Database', 'R', 'IBM SPSS Statistics', 'ESRI ArcGIS software', 'Adobe Photoshop', 'The MathWorks MATLAB', 'Microsoft Excel', 'Microsoft Office software', 'Microsoft Visio', 'Microsoft Access', 'Microsoft Outlook']"
