employee_id,department,gap_count,top_recommendation,training_duration,training_type,all_recommendations
11,HR,397,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
12,Support,400,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
13,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
14,HR,397,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
15,IT,2491,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
16,Marketing,175,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
17,Support,400,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
18,IT,2492,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
19,Support,400,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
20,Support,399,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
21,Support,399,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
22,Sales,669,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
23,IT,2491,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
24,IT,2492,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
25,Marketing,175,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
26,Marketing,175,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
27,Sales,669,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
28,Marketing,175,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
29,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
30,Support,399,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
31,IT,2494,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
32,Marketing,175,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
33,IT,2492,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
34,IT,2491,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
35,Marketing,176,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
36,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
37,Marketing,176,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
38,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
39,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
40,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
41,Sales,669,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
42,Marketing,175,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
43,Marketing,177,Cybersecurity Fundamentals,4 weeks,Technical,"[{'missing_skill': '2AB iLock Security Services', 'recommended_course': 'Cybersecurity Fundamentals', 'type': 'Technical', 'duration': '4 weeks'}, {'missing_skill': '911 system information databases', 'recommended_course': 'Database Reporting & BI Tools', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Access management software', 'recommended_course': 'Access Management Systems', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe Acrobat Reader', 'recommended_course': 'Adobe Creative Suite Mastery', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}]"
44,IT,2494,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
45,Finance,1432,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
46,IT,2493,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
47,Sales,670,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
48,Sales,670,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
49,Support,399,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
50,IT,2494,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
51,Sales,669,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
52,Support,400,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
