Employee_ID,Department,Role,Risk_Level,Attrition_Probability,Engagement_Score,Satisfaction_Score,Skill_Gap_Count,Top_Skill_Gaps,Recommended_Training
89,Marketing,SEO Analyst,MEDIUM,0.5862,2.94,3.02,175,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
90,Finance,Auditor,MEDIUM,0.58,2.94,3.02,1432,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
91,IT,Tester,HIGH,0.6663,2.94,3.02,2494,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
92,Finance,Accountant,LOW,0.0569,2.94,3.02,1435,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
93,Sales,Account Manager,LOW,0.0692,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
94,Support,Helpdesk,LOW,0.1663,2.94,3.02,399,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
95,Support,Support Engineer,LOW,0.0679,2.94,3.02,399,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
96,Marketing,Content Lead,LOW,0.0646,2.94,3.02,175,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
97,HR,HR Manager,MEDIUM,0.4987,2.94,3.02,396,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
98,Marketing,Content Lead,MEDIUM,0.5009,2.94,3.02,174,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
99,HR,HR Executive,LOW,0.0705,2.94,3.02,397,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
100,Sales,Account Manager,LOW,0.0493,2.94,3.02,669,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
101,HR,HR Manager,HIGH,0.6498,2.94,3.02,398,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
102,HR,HR Executive,MEDIUM,0.5115,2.94,3.02,397,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
103,Sales,Account Manager,MEDIUM,0.4852,2.94,3.02,671,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
104,Support,Support Engineer,LOW,0.0935,2.94,3.02,400,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
105,Marketing,SEO Analyst,MEDIUM,0.5688,2.94,3.02,176,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
106,Finance,Accountant,HIGH,0.7691,2.94,3.02,1433,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
107,IT,Developer,LOW,0.0778,2.94,3.02,2493,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
108,HR,HR Executive,LOW,0.1056,2.94,3.02,397,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
109,Support,Support Engineer,LOW,0.0695,2.94,3.02,399,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
110,IT,Developer,LOW,0.1092,2.94,3.02,2492,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
111,Support,Helpdesk,MEDIUM,0.5281,2.94,3.02,399,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
112,IT,Engineer,HIGH,0.7388,2.94,3.02,2492,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
113,IT,Developer,MEDIUM,0.3248,2.94,3.02,2493,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
114,Support,Helpdesk,MEDIUM,0.4858,2.94,3.02,399,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
115,Sales,Account Manager,LOW,0.0359,2.94,3.02,669,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
116,Support,Helpdesk,LOW,0.0847,2.94,3.02,400,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
117,Marketing,SEO Analyst,MEDIUM,0.5527,2.94,3.02,176,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
118,HR,HR Executive,HIGH,0.7355,2.94,3.02,398,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
119,Finance,Auditor,LOW,0.0747,2.94,3.02,1432,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
120,Sales,Sales Executive,HIGH,0.6298,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
121,IT,Developer,HIGH,0.717,2.94,3.02,2492,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
122,Support,Support Engineer,LOW,0.0408,2.94,3.02,399,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
123,Finance,Auditor,LOW,0.2715,2.94,3.02,1433,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
124,IT,Engineer,LOW,0.0479,2.94,3.02,2494,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
125,Finance,Accountant,LOW,0.0726,2.94,3.02,1433,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
126,IT,Developer,LOW,0.0712,2.94,3.02,2494,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
127,Sales,Sales Executive,LOW,0.119,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
128,HR,HR Executive,HIGH,0.655,2.94,3.02,398,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
129,Support,Support Engineer,MEDIUM,0.473,2.94,3.02,399,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
130,IT,Tester,LOW,0.0551,2.94,3.02,2493,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
131,Support,Helpdesk,LOW,0.0292,2.94,3.02,400,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
132,HR,HR Executive,LOW,0.0704,2.94,3.02,396,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
133,Finance,Auditor,MEDIUM,0.3174,2.94,3.02,1434,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
134,HR,HR Manager,LOW,0.0966,2.94,3.02,396,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
135,Marketing,Content Lead,LOW,0.0534,2.94,3.02,175,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
136,Marketing,SEO Analyst,MEDIUM,0.4933,2.94,3.02,176,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
137,Finance,Auditor,MEDIUM,0.3803,2.94,3.02,1433,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
138,IT,Engineer,LOW,0.2173,2.94,3.02,2494,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
139,IT,Developer,LOW,0.0782,2.94,3.02,2493,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
140,Sales,Account Manager,MEDIUM,0.4909,2.94,3.02,671,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
141,IT,Tester,HIGH,0.7561,2.94,3.02,2493,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
142,Sales,Account Manager,LOW,0.0538,2.94,3.02,669,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
143,Support,Helpdesk,LOW,0.1846,2.94,3.02,401,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
144,Sales,Account Manager,LOW,0.0548,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
145,Support,Support Engineer,LOW,0.0409,2.94,3.02,400,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
146,HR,HR Manager,LOW,0.0415,2.94,3.02,396,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
147,Sales,Account Manager,LOW,0.2603,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
148,Sales,Account Manager,LOW,0.1595,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
149,Support,Support Engineer,LOW,0.2756,2.94,3.02,401,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
150,Marketing,Content Lead,MEDIUM,0.4716,2.94,3.02,174,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
151,HR,HR Executive,MEDIUM,0.527,2.94,3.02,397,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
152,Sales,Account Manager,LOW,0.122,2.94,3.02,669,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
153,IT,Tester,LOW,0.1039,2.94,3.02,2492,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
154,Marketing,SEO Analyst,MEDIUM,0.3808,2.94,3.02,175,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
155,HR,HR Executive,HIGH,0.6344,2.94,3.02,396,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
156,IT,Developer,HIGH,0.6064,2.94,3.02,2495,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
157,HR,HR Executive,HIGH,0.62,2.94,3.02,396,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
158,Marketing,Content Lead,LOW,0.0181,2.94,3.02,176,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
159,Support,Support Engineer,LOW,0.1332,2.94,3.02,400,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
160,Sales,Sales Executive,LOW,0.0818,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
161,Support,Helpdesk,MEDIUM,0.5675,2.94,3.02,400,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
162,Finance,Accountant,HIGH,0.6874,2.94,3.02,1432,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
163,HR,HR Executive,LOW,0.0337,2.94,3.02,398,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
164,HR,HR Manager,MEDIUM,0.4014,2.94,3.02,397,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
165,IT,Tester,MEDIUM,0.3874,2.94,3.02,2494,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
